scenario_group,scenario_name,metric_group,metric_name,seq_category,value,ci_lo,ci_hi
window,window_1_5,model_status,reference_category,Isolated_Heatwave,,,
window,window_1_5,adjusted_mean,adjusted_mean,H_to_H,-0.030709029144887365,-0.4935751797133339,0.42522820096301334
window,window_1_5,adjusted_mean,adjusted_mean,Isolated_Heatwave,0.27406072988106683,-0.2997211302887995,0.8443240777865976
window,window_1_5,adjusted_mean,adjusted_mean,Isolated_Storm,0.41500127944062803,0.15155020392119992,0.6844120971355352
window,window_1_5,adjusted_mean,adjusted_mean,S_to_H,0.17922864624093637,-0.06365517111438453,0.4175112077825052
window,window_1_5,adjusted_mean,adjusted_mean,S_to_S,-0.008346319910191026,-0.5713261510472744,0.5453719115850127
window,window_1_5,model_coef,storm_exposure_seq_c,,0.010755888824362268,-0.0030750726193479426,0.024586850268072478
window,window_1_5,model_coef,heat_exposure_seq_c,,0.06269645518359095,0.02371022578114043,0.10168268458604146
window,window_1_5,model_coef,baseline_hc_c,,0.02444889371217439,0.017297989364451163,0.03159979805989762
window,window_1_5,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.H_to_H]",,-0.3047697590259542,-0.7775986470664134,0.16805912901450493
window,window_1_5,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.Isolated_Storm]",,0.1409405495595612,-0.5787376345983213,0.8606187337174438
window,window_1_5,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_H]",,-0.09483208364013046,-0.816009453154044,0.6263452858737832
window,window_1_5,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_S]",,-0.28240704979125786,-1.356418853109561,0.7916047535270452
baseline_threshold,baseline_hc_10pct,sample,retained_sequences,,102.0,,
baseline_threshold,baseline_hc_10pct,sample,retained_reefs,,61.0,,
baseline_threshold,baseline_hc_10pct,hierarchy,count,Isolated_Storm,38.0,,
baseline_threshold,baseline_hc_10pct,hierarchy,mean_rel_loss,Isolated_Storm,0.12954838007019615,,
baseline_threshold,baseline_hc_10pct,hierarchy,rank,Isolated_Storm,5.0,,
baseline_threshold,baseline_hc_10pct,hierarchy,count,Isolated_Heatwave,10.0,,
baseline_threshold,baseline_hc_10pct,hierarchy,mean_rel_loss,Isolated_Heatwave,0.14690892040430104,,
baseline_threshold,baseline_hc_10pct,hierarchy,rank,Isolated_Heatwave,4.0,,
baseline_threshold,baseline_hc_10pct,hierarchy,count,Concurrent,,,
baseline_threshold,baseline_hc_10pct,hierarchy,mean_rel_loss,Concurrent,,,
baseline_threshold,baseline_hc_10pct,hierarchy,rank,Concurrent,,,
baseline_threshold,baseline_hc_10pct,hierarchy,count,S_to_H,9.0,,
baseline_threshold,baseline_hc_10pct,hierarchy,mean_rel_loss,S_to_H,0.409884728325548,,
baseline_threshold,baseline_hc_10pct,hierarchy,rank,S_to_H,2.0,,
baseline_threshold,baseline_hc_10pct,hierarchy,count,S_to_S,16.0,,
baseline_threshold,baseline_hc_10pct,hierarchy,mean_rel_loss,S_to_S,0.46220183397491843,,
baseline_threshold,baseline_hc_10pct,hierarchy,rank,S_to_S,1.0,,
baseline_threshold,baseline_hc_10pct,hierarchy,count,H_to_H,29.0,,
baseline_threshold,baseline_hc_10pct,hierarchy,mean_rel_loss,H_to_H,0.367592120516101,,
baseline_threshold,baseline_hc_10pct,hierarchy,rank,H_to_H,3.0,,
baseline_threshold,baseline_hc_10pct,hierarchy,count,H_to_S,,,
baseline_threshold,baseline_hc_10pct,hierarchy,mean_rel_loss,H_to_S,,,
baseline_threshold,baseline_hc_10pct,hierarchy,rank,H_to_S,,,
baseline_threshold,baseline_hc_10pct,contrast,S_to_H_minus_Isolated_Heatwave,,0.262975807921247,,
baseline_threshold,baseline_hc_10pct,contrast,S_to_H_minus_H_to_H,,0.04229260780944699,,
baseline_threshold,baseline_hc_10pct,model_status,model_ran,,1.0,,
baseline_threshold,baseline_hc_10pct,sample,model_events,,102.0,,
baseline_threshold,baseline_hc_10pct,sample,model_reefs,,61.0,,
baseline_threshold,baseline_hc_10pct,model_status,reference_category,Isolated_Heatwave,,,
baseline_threshold,baseline_hc_10pct,adjusted_mean,adjusted_mean,H_to_H,0.12399557150308162,-0.3974595812141141,0.6367050071287035
baseline_threshold,baseline_hc_10pct,adjusted_mean,adjusted_mean,Isolated_Heatwave,0.465574754043005,0.015252717236537393,0.9162329646449494
baseline_threshold,baseline_hc_10pct,adjusted_mean,adjusted_mean,Isolated_Storm,0.34469629705705684,0.06550730615172529,0.6185035139799457
baseline_threshold,baseline_hc_10pct,adjusted_mean,adjusted_mean,S_to_H,0.34814751108122066,0.19259574046651318,0.5093485007478628
baseline_threshold,baseline_hc_10pct,adjusted_mean,adjusted_mean,S_to_S,0.2283053148929659,-0.2298854839065418,0.6691767181658878
baseline_threshold,baseline_hc_10pct,model_coef,storm_exposure_seq_c,,0.008425882092725904,-0.0023433526748363256,0.019195116860288134
baseline_threshold,baseline_hc_10pct,model_coef,heat_exposure_seq_c,,0.05589162896508156,0.01015843492466096,0.10162482300550216
baseline_threshold,baseline_hc_10pct,model_coef,baseline_hc_c,,0.014770596391348936,0.006801195535919482,0.02273999724677839
baseline_threshold,baseline_hc_10pct,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.H_to_H]",,-0.3415791825399234,-0.8493068121332972,0.1661484470534504
baseline_threshold,baseline_hc_10pct,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.Isolated_Storm]",,-0.12087845698594814,-0.7167831766459587,0.47502626267406245
baseline_threshold,baseline_hc_10pct,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_H]",,-0.11742724296178439,-0.6543244414519183,0.4194699555283494
baseline_threshold,baseline_hc_10pct,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_S]",,-0.23726943915003917,-1.0582798196088783,0.5837409413088
reference_category,reference_Isolated_Heatwave,model_status,model_ran,,1.0,,
reference_category,reference_Isolated_Heatwave,sample,model_events,,118.0,,
reference_category,reference_Isolated_Heatwave,sample,model_reefs,,66.0,,
reference_category,reference_Isolated_Heatwave,model_status,reference_category,Isolated_Heatwave,,,
reference_category,reference_Isolated_Heatwave,adjusted_mean,adjusted_mean,H_to_H,-0.005323548361289156,-0.47246611566834634,0.47973528378534785
reference_category,reference_Isolated_Heatwave,adjusted_mean,adjusted_mean,Isolated_Heatwave,0.4467325151734579,-0.03279565437541498,0.914947994485223
reference_category,reference_Isolated_Heatwave,adjusted_mean,adjusted_mean,Isolated_Storm,0.32183053039254667,0.04157258423919401,0.6095631199540013
reference_category,reference_Isolated_Heatwave,adjusted_mean,adjusted_mean,S_to_H,0.32787955278660136,0.12643193449661624,0.5195604696576295
reference_category,reference_Isolated_Heatwave,adjusted_mean,adjusted_mean,S_to_S,-0.15087156699240026,-0.6602096390704234,0.3748239397024019
reference_category,reference_Isolated_Heatwave,model_coef,storm_exposure_seq_c,,0.014061839472835751,0.002344354807828273,0.02577932413784323
reference_category,reference_Isolated_Heatwave,model_coef,heat_exposure_seq_c,,0.06613713042088677,0.023031375371040913,0.10924288547073263
reference_category,reference_Isolated_Heatwave,model_coef,baseline_hc_c,,0.021230536799785805,0.014660703335059047,0.027800370264512562
reference_category,reference_Isolated_Heatwave,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.H_to_H]",,-0.45205606353474714,-0.9512161054148158,0.04710397834532154
reference_category,reference_Isolated_Heatwave,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.Isolated_Storm]",,-0.12490198478091147,-0.7556059292180535,0.5058019596562304
reference_category,reference_Isolated_Heatwave,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_H]",,-0.11885296238685665,-0.7029253312671543,0.465219406493441
reference_category,reference_Isolated_Heatwave,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_S]",,-0.5976040821658583,-1.5125922766772475,0.3173841123455311
reference_category,reference_Isolated_Storm,model_status,model_ran,,1.0,,
reference_category,reference_Isolated_Storm,sample,model_events,,118.0,,
reference_category,reference_Isolated_Storm,sample,model_reefs,,66.0,,
reference_category,reference_Isolated_Storm,model_status,reference_category,Isolated_Storm,,,
reference_category,reference_Isolated_Storm,adjusted_mean,adjusted_mean,H_to_H,-0.005323548361289065,-0.49105098640306133,0.46698635455976883
reference_category,reference_Isolated_Storm,adjusted_mean,adjusted_mean,Isolated_Heatwave,0.44673251517345514,-0.04541014031304745,0.9356253539336841
reference_category,reference_Isolated_Storm,adjusted_mean,adjusted_mean,Isolated_Storm,0.3218305303925435,0.029354283093659384,0.6115216365406273
reference_category,reference_Isolated_Storm,adjusted_mean,adjusted_mean,S_to_H,0.32787955278660086,0.14240177546470112,0.52411973163531
reference_category,reference_Isolated_Storm,adjusted_mean,adjusted_mean,S_to_S,-0.15087156699239276,-0.6534745236435969,0.35479880319222384
reference_category,reference_Isolated_Storm,model_coef,storm_exposure_seq_c,,0.014061839472835515,0.0023443548078284585,0.02577932413784257
reference_category,reference_Isolated_Storm,model_coef,heat_exposure_seq_c,,0.06613713042088658,0.023031375371040892,0.10924288547073227
reference_category,reference_Isolated_Storm,model_coef,baseline_hc_c,,0.021230536799785656,0.014660703335058915,0.027800370264512396
reference_category,reference_Isolated_Storm,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Storm'))[T.H_to_H]",,-0.32715407875383257,-1.055219517060333,0.4009113595526678
reference_category,reference_Isolated_Storm,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Storm'))[T.Isolated_Heatwave]",,0.12490198478091168,-0.5058019596562335,0.7556059292180568
reference_category,reference_Isolated_Storm,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Storm'))[T.S_to_H]",,0.006049022394057392,-0.33665168597748435,0.3487497307655992
reference_category,reference_Isolated_Storm,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Storm'))[T.S_to_S]",,-0.4727020973849363,-0.910566394990189,-0.034837799779683654
reference_category,reference_H_to_H,model_status,model_ran,,1.0,,
reference_category,reference_H_to_H,sample,model_events,,118.0,,
reference_category,reference_H_to_H,sample,model_reefs,,66.0,,
reference_category,reference_H_to_H,model_status,reference_category,H_to_H,,,
