data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,reefpage_category,shelf,mean,count_group,series,source_file
photo-transect,reef,Agincourt Reef No.1,1997,1997.07397260274,HARD CORAL,7.175757181222608,5.831176233357857,8.673988826595384,LTMP,9,_,Pocilloporidae, ,7.197537500911166,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1997,1997.07397260274,HARD CORAL,3.795139969044455,2.756744882050917,4.906117233833923,LTMP,9,_,Isopora, ,3.83982447665916,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1997,1997.07397260274,HARD CORAL,1.5984988354776366,1.049892790711197,2.333347708063109,LTMP,9,_,Merulinidae, ,1.6333803328506888,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1997,1997.07397260274,HARD CORAL,0.403960972217989,0.1412284826699509,0.7849211486741253,LTMP,9,_,Other, ,0.436790732527705,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1997,1997.07397260274,HARD CORAL,1.051311162882498,0.5799616900946937,1.6355342847065295,LTMP,9,_,Porites, ,1.088223655655591,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1997,1997.07397260274,HARD CORAL,2.670659491741524,1.8332220662501928,3.627687074988613,LTMP,9,_,Unidentified, ,2.69570595216188,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1997,1997.07397260274,SOFT CORAL,19.686062650677627,16.353800175758835,23.49139495503196,LTMP,9,_,Xeniidae, ,19.748585732429596,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1997,1997.07397260274,SOFT CORAL,1.4726004909999797,0.789963048630206,2.38714656351787,LTMP,9,_,Unidentified, ,1.531087076242804,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1997,1997.07397260274,SOFT CORAL,0.6402215806541396,0.2563936923084512,1.3470805518637707,LTMP,9,_,Nephtheidae, ,0.7008868011362208,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1997,1997.07397260274,SOFT CORAL,3.6909988540703416,2.492060335481709,5.273094688179526,LTMP,9,_,Sclerophytum, ,3.771164454668652,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1997,1997.07397260274,SOFT CORAL,1.422985745160756,0.7540805514309152,2.246692466127313,LTMP,9,_,Other, ,1.4781544986484365,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1997,1997.07397260274,SOFT CORAL,0.3972794067679671,0.1288724779190129,0.942009945606067,LTMP,9,_,Lobophytum, ,0.4492664725411315,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1997,1997.07397260274,SOFT CORAL,0.7002406084227497,0.2703466380226014,1.298176860691246,LTMP,9,_,Briareum, ,0.7468269605836774,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1997,1997.07397260274,MACROALGAE,0.7526846439271411,0.4826671651168897,1.091288008068308,LTMP,9,_,Red Macroalgae, ,0.7647542791697431,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1997,1997.07397260274,MACROALGAE,0.3120441630516158,0.135568142140544,0.5496399560906938,LTMP,9,_,Unidentified Macroalgae, ,0.3267287248357625,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1997,1997.07397260274,MACROALGAE,0.0,0.0,0.0,LTMP,9,_,Green Macroalgae, ,0.0,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1997,1997.07397260274,MACROALGAE,0.0,0.0,0.0,LTMP,9,_,Other Brown Macroalgae, ,0.0,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1998,1998.0712328767124,ALGAE,25.78055996164934,23.915795148435496,27.615431819127416,LTMP,9,_,Coralline algae, ,25.76466464751937,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1998,1998.0712328767124,ALGAE,12.263158242929864,11.007373518136182,13.621844517470258,LTMP,9,_,Turf algae, ,12.296506271956558,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1998,1998.0712328767124,ALGAE,0.8239799291308522,0.5552434213470928,1.2004727947101703,LTMP,9,_,Red Macroalgae, ,0.841530970485749,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1998,1998.0712328767124,ALGAE,0.411020569312585,0.2258514591665723,0.6608214914790725,LTMP,9,_,Unidentified Macroalgae, ,0.4290473563289104,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1998,1998.0712328767124,ALGAE,0.0,0.0,0.0,LTMP,9,_,Green Macroalgae, ,0.0,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1998,1998.0712328767124,ALGAE,0.0,0.0,0.0,LTMP,9,_,Other Brown Macroalgae, ,0.0,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1998,1998.0712328767124,HARD CORAL,13.369812309919354,11.509028658436856,15.677709957195358,LTMP,9,_,Acropora, ,13.436464842786638,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1998,1998.0712328767124,HARD CORAL,7.839157892684589,6.4838656480037145,9.529236677102263,LTMP,9,_,Pocilloporidae, ,7.903128230513022,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1998,1998.0712328767124,HARD CORAL,3.578766318317101,2.6545886198284423,4.669244734003731,LTMP,9,_,Isopora, ,3.636486408840969,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
