reef_name,year,max_dhw,dhw_peak_date,min_dist,max_wind_ms,storm_name,storm_peak_date,has_storm,has_heatwave
Broomfield_Reef,2016,0.0,2015.498288843258,,0.0,,,0,0
Broomfield_Reef,2017,3.09,2017.2299794661192,,0.0,,,0,0
Broomfield_Reef,2018,0.0,2017.498288843258,,0.0,,,0,0
Broomfield_Reef,2019,0.0,2018.498288843258,,0.0,,,0,0
Broomfield_Reef,2020,6.9,2020.1916495550993,,0.0,,,0,1
Broomfield_Reef,2021,0.0,2020.501026694045,,0.0,,,0,0
Broomfield_Reef,2022,0.33,2022.1889117043122,,0.0,,,0,0
Broomfield_Reef,2023,0.97,2023.208076659822,,0.0,,,0,0
Broomfield_Reef,2024,11.6,2024.186173853525,,0.0,,,0,1
Broomfield_Reef,2025,1.06,2025.0876112251883,,0.0,,,0,0
Carter_Reef,1985,0.0,,,0.0,,,0,0
Carter_Reef,1986,0.0,,,0.0,,,0,0
Carter_Reef,1987,0.0,,,0.0,,,0,0
Carter_Reef,1988,0.0,,,0.0,,,0,0
Carter_Reef,1989,1.37,1989.1368925393565,,0.0,,,0,0
Carter_Reef,1990,1.05,1990.2135523613963,,0.0,,,0,0
Carter_Reef,1991,2.19,1991.0930869267625,,0.0,,,0,0
Carter_Reef,1992,0.0,1991.498288843258,,0.0,,,0,0
Carter_Reef,1993,0.0,1992.501026694045,,0.0,,,0,0
Carter_Reef,1994,3.21,1994.1971252566734,,0.0,,,0,0
Carter_Reef,1995,1.29,1995.1505817932923,,0.0,,,0,0
Carter_Reef,1996,2.03,1996.104038329911,,0.0,,,0,0
Carter_Reef,1997,0.0,1996.501026694045,,0.0,,,0,0
Carter_Reef,1998,0.62,1998.1478439425052,,0.0,,,0,0
Carter_Reef,1999,0.0,1998.498288843258,,0.0,,,0,0
Carter_Reef,2000,0.76,2000.1533196440794,,0.0,,,0,0
Carter_Reef,2001,0.15,2001.2272416153319,,0.0,,,0,0
Carter_Reef,2002,1.03,2002.0328542094455,,0.0,,,0,0
Carter_Reef,2003,1.98,2003.1368925393565,,0.0,,,0,0
Carter_Reef,2004,2.7,2004.1889117043122,,0.0,,,0,0
Carter_Reef,2005,0.0,2004.501026694045,,0.0,,,0,0
Carter_Reef,2006,0.3,2006.1177275838468,,0.0,,,0,0
Carter_Reef,2007,1.18,2007.084873374401,,0.0,,,0,0
Carter_Reef,2008,1.08,2008.1122518822724,,0.0,,,0,0
Carter_Reef,2009,2.92,2009.1396303901438,,0.0,,,0,0
Carter_Reef,2010,2.97,2010.1889117043122,,0.0,,,0,0
Carter_Reef,2011,2.71,2011.0273785078714,,0.0,,,0,0
Carter_Reef,2012,0.15,2012.062970568104,,0.0,,,0,0
Carter_Reef,2013,1.6,2013.1752224503764,,0.0,,,0,0
Carter_Reef,2014,0.15,2014.0164271047229,18.938906052983253,41.000868000000004,ITA,2014.2765229295003,1,0
Carter_Reef,2015,1.55,2015.1779603011637,18.656037692586782,29.117304,NATHAN,2015.2135523613963,1,0
Carter_Reef,2016,11.32,2016.2464065708418,,0.0,,,0,1
Carter_Reef,2017,9.04,2017.2518822724162,,0.0,,,0,1
Carter_Reef,2018,0.14,2018.1533196440794,,0.0,,,0,0
Carter_Reef,2019,0.31,2018.977412731006,,0.0,,,0,0
Carter_Reef,2020,7.72,2020.2053388090349,,0.0,,,0,1
Carter_Reef,2021,4.59,2021.145106091718,,0.0,,,0,1
Carter_Reef,2022,4.64,2022.1998631074607,48.06091829414838,19.025905101642202,TIFFANY,2022.024640657084,1,1
Carter_Reef,2023,2.34,2023.0876112251883,,0.0,,,0,0
Carter_Reef,2024,8.21,2024.1916495550993,,0.0,,,0,1
Carter_Reef,2025,8.02,2025.1916495550993,,0.0,,,0,1
Centipede_Reef,1985,0.0,,,0.0,,,0,0
Centipede_Reef,1986,0.0,,,0.0,,,0,0
Centipede_Reef,1987,0.0,,,0.0,,,0,0
Centipede_Reef,1988,0.0,,51.13687828132486,26.795511803328765,CHARLIE,1988.1642710472279,1,0
Centipede_Reef,1989,0.33,1989.1314168377824,53.228689094572466,36.76092527102678,AIVU,1989.2546201232033,1,0
Centipede_Reef,1990,0.72,1990.065708418891,,0.0,,,0,0
Centipede_Reef,1991,0.0,1990.498288843258,,0.0,,,0,0
Centipede_Reef,1992,0.0,,,0.0,,,0,0
Centipede_Reef,1993,0.15,1993.2135523613963,,0.0,,,0,0
Centipede_Reef,1994,1.06,1994.1615331964408,,0.0,,,0,0
Centipede_Reef,1995,2.7,1995.1505817932923,,0.0,,,0,0
Centipede_Reef,1996,0.29,1996.0958247775495,,0.0,,,0,0
Centipede_Reef,1997,0.0,1996.501026694045,,0.0,,,0,0
Centipede_Reef,1998,2.36,1998.1341546885694,,0.0,,,0,0
Centipede_Reef,1999,0.51,1999.041067761807,,0.0,,,0,0
Centipede_Reef,2000,0.0,1999.498288843258,26.046873768005497,22.481028000000002,TESSI,2000.2546201232033,1,0
Centipede_Reef,2001,1.19,2001.2190280629707,,0.0,,,0,0
Centipede_Reef,2002,2.92,2002.125941136208,,0.0,,,0,0
Centipede_Reef,2003,0.0,2002.498288843258,,0.0,,,0,0
Centipede_Reef,2004,2.42,2004.1697467488023,,0.0,,,0,0
Centipede_Reef,2005,0.86,2005.1177275838468,,0.0,,,0,0
Centipede_Reef,2006,0.0,2005.498288843258,,0.0,,,0,0
Centipede_Reef,2007,0.0,2006.498288843258,,0.0,,,0,0
Centipede_Reef,2008,0.0,2007.498288843258,,0.0,,,0,0
Centipede_Reef,2009,0.47,2009.1423682409309,,0.0,,,0,0
Centipede_Reef,2010,0.71,2010.1834360027378,,0.0,,,0,0
Centipede_Reef,2011,1.71,2011.0547570157426,,0.0,,,0,0
Centipede_Reef,2012,0.94,2012.1177275838468,,0.0,,,0,0
Centipede_Reef,2013,1.03,2013.1396303901438,,0.0,,,0,0
Centipede_Reef,2014,0.0,2013.498288843258,,0.0,,,0,0
Centipede_Reef,2015,2.5,2015.1806981519508,,0.0,,,0,0
Centipede_Reef,2016,3.14,2016.2272416153319,,0.0,,,0,0
Centipede_Reef,2017,4.68,2017.2354551676933,,0.0,,,0,1
Centipede_Reef,2018,0.0,2017.498288843258,,0.0,,,0,0
Centipede_Reef,2019,0.0,2018.498288843258,,0.0,,,0,0
Centipede_Reef,2020,5.46,2020.1971252566734,33.698075893392186,38.377224,HAROLD,2020.2710472279261,1,1
Centipede_Reef,2021,0.0,2020.501026694045,,0.0,,,0,0
Centipede_Reef,2022,5.04,2022.2053388090349,,0.0,,,0,1
Centipede_Reef,2023,1.56,2023.290212183436,,0.0,,,0,0
Centipede_Reef,2024,4.86,2024.1286789869953,5.234171550630028,18.519840000000002,KIRRILY,2024.0684462696784,1,1
Centipede_Reef,2025,0.0,2024.501026694045,,0.0,,,0,0
Chicken_Reef,1985,0.0,,,0.0,,,0,0
Chicken_Reef,1986,0.0,,,0.0,,,0,0
Chicken_Reef,1987,0.0,,,0.0,,,0,0
Chicken_Reef,1988,0.45,1988.2026009582478,63.97452498408517,23.16512773356923,CHARLIE,1988.1642710472279,1,0
Chicken_Reef,1989,0.17,1989.1286789869953,42.063651454951184,41.000868000000004,AIVU,1989.2546201232033,1,0
Chicken_Reef,1990,0.5700000000000001,1990.065708418891,,0.0,,,0,0
Chicken_Reef,1991,0.0,1990.498288843258,,0.0,,,0,0
Chicken_Reef,1992,0.0,1991.498288843258,,0.0,,,0,0
Chicken_Reef,1993,0.0,1992.501026694045,,0.0,,,0,0
Chicken_Reef,1994,2.15,1994.1615331964408,,0.0,,,0,0
