reef_name,year,storm_track_id,storm_id,storm_name,storm_track_key_type,max_wind_ms,min_dist_km,buff_limit_km,rmax_default_km,decay_exponent,physical_threshold_ms
Hayman_Island,2011,AU201011_11U,AU201011_11U,ANTHONY,DISTURBANCE_ID,18.519840000000002,28.834627474218124,100,45.0,0.8,17.5
Hayman_Island,2014,AU201314_07U,AU201314_07U,DYLAN,DISTURBANCE_ID,19.857384,39.10601395424006,100,45.0,0.8,17.5
Hayman_Island,2017,AU201617_24U,AU201617_24U,DEBBIE,DISTURBANCE_ID,33.078492,11.491324427667099,100,45.0,0.8,17.5
Hayman_Island,2020,AU201920_12U,AU201920_12U,HAROLD,DISTURBANCE_ID,38.377224,6.0623101097280445,100,45.0,0.8,17.5
Helix_Reef,1988,AU198788_04U,AU198788_04U,CHARLIE,DISTURBANCE_ID,21.03010921597967,67.5848811729608,100,45.0,0.8,17.5
Helix_Reef,1989,AU198889_09U,AU198889_09U,AIVU,DISTURBANCE_ID,25.275819623241777,82.38009115576689,100,45.0,0.8,17.5
Helix_Reef,2000,AU199900_09U,AU199900_09U,TESSI,DISTURBANCE_ID,22.481028000000002,8.50393132519761,100,45.0,0.8,17.5
Helix_Reef,2020,AU201920_12U,AU201920_12U,HAROLD,DISTURBANCE_ID,37.07313360443265,46.98728372016889,100,45.0,0.8,17.5
Helix_Reef,2024,AU202324_05U,AU202324_05U,KIRRILY,DISTURBANCE_ID,23.818572,20.865803702256134,100,45.0,0.8,17.5
Horseshoe_Reef,1984,AU198384_22U,AU198384_22U,LANCE,DISTURBANCE_ID,18.519840000000002,31.191022098702724,100,45.0,0.8,17.5
Horseshoe_Reef,1992,AU199192_08U,AU199192_08U,FRAN,DISTURBANCE_ID,22.481028000000002,30.956598381505295,100,45.0,0.8,17.5
Horseshoe_Reef,1994,AU199394_02U,AU199394_02U,REWA,DISTURBANCE_ID,29.117304,28.36907749103671,100,45.0,0.8,17.5
Horseshoe_Reef,2009,AU200809_17U,AU200809_17U,HAMISH,DISTURBANCE_ID,42.338412,8.06188754682828,100,45.0,0.8,17.5
Hoskyn_Island,1980,AU197980_12U,AU197980_12U,SIMON,DISTURBANCE_ID,25.390296310516806,59.48434300586077,100,45.0,0.8,17.5
Hoskyn_Island,1994,AU199394_02U,AU199394_02U,REWA,DISTURBANCE_ID,28.051311618852655,47.147644342984606,100,45.0,0.8,17.5
Hyde_Reef,2003,AU200203_05U,AU200203_05U,ERICA,DISTURBANCE_ID,29.117304,34.248027473396974,100,45.0,0.8,17.5
Hyde_Reef,2009,AU200809_17U,AU200809_17U,HAMISH,DISTURBANCE_ID,42.338412,20.938142146993066,100,45.0,0.8,17.5
Hyde_Reef,2010,AU200910_09U,AU200910_09U,ULUI,DISTURBANCE_ID,29.117304,19.93904721942172,100,45.0,0.8,17.5
Hyde_Reef,2017,AU201617_24U,AU201617_24U,DEBBIE,DISTURBANCE_ID,35.75358,42.48309332438959,100,45.0,0.8,17.5
Hyde_Reef,2020,AU201920_12U,AU201920_12U,HAROLD,DISTURBANCE_ID,38.377224,26.91102752221847,100,45.0,0.8,17.5
Jenkins_Reef,1984,AU198384_22U,AU198384_22U,LANCE,DISTURBANCE_ID,18.519840000000002,29.02431059829546,100,45.0,0.8,17.5
Jenkins_Reef,1992,AU199192_08U,AU199192_08U,FRAN,DISTURBANCE_ID,22.481028000000002,22.63439619035399,100,45.0,0.8,17.5
Jenkins_Reef,1994,AU199394_02U,AU199394_02U,REWA,DISTURBANCE_ID,29.117304,30.076773280613708,100,45.0,0.8,17.5
